StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,loc_country,country,loc_admin1,loc_admin2,loc_admin3,loc_admin4,loc_fe,loc_urbrur,fact_trueforyou,fact_trueforyou_1,fact_trueforyou_2,fact_trueforyou_3,fact_trueforyou_4,fact_trueforyou_5,fact_trueforyou_6,fact_trueforyou_7,fact_trueforyou_8,fact_trueforyou_9,fact_trueforyou_10,fact_trueforyou_11,fact_trueforyou_12,fact_truecovid,fact_truecovid_1,fact_truecovid_2,fact_truecovid_3,fact_truecovid_4,fact_truecovid_5,fact_truecovid_6,fact_tested,fact_tf_older,fact_tf_cure,fact_tf_transmit,fact_reduce_spread,fact_reduce_spread_1,fact_reduce_spread_2,fact_reduce_spread_3,fact_reduce_spread_4,fact_reduce_spread_5,fact_reduce_spread_6,fact_reduce_spread_7,fact_response,fact_response_1,fact_response_2,fact_response_3,fact_response_4,fact_response_5,fact_response_6,fact_response_7,fact_numb_cases,numcase_time_First Click,numcase_time_Last Click,numcase_time_Page Submit,numcase_time_Click Count,info1,info2,info2_1,info2_2,info2_3,info2_4,trust_cov_pres,trust_cov_moh,trust_cov_hwork,trust_cov_media,trust_gov,le_condition,le_count,le_control,le_treat,at_lock_time,att_lock,att_lock_guess,att_self_concern,att_concern_pol_own,att_risk_ownhealth,att_risk_ownecon,att_fam_concern,att_concern_pol_they,att_risk_ffhealth,att_risk_ffecon,att_socmed_concern,att_lock_correct,att_lock_gap,att_lock_gap_abs,hypo_condition,hypo_answer,hypo_answer_scaled,hypo_norm0,hypo_norm1,hypo_norm2,letter_col,letter_ext,letter_rel,letter_civ,behav_write,behav_wrote,behav_letter,remit,remit_1,remit_2,remit_3,remit_4,remit_rcv_amount_abr,remit_snt_amount_dom,remit_rcv_amt_dom,female,dem_age,dem_edu,dem_occ,dem_vote_ug,dem_vote_ke,dem_vote_ng,Q83,dem_party_ke,dem_party_ng,dem_party_ug,voted,voted_incumbent,copartisan,voted_copartisan,dem_rel,dem_religiosity,dem_eth,dem_eth_ug,dem_eth_ng,dem_eth_ke,click_WHOlink,click_WHOphone,lockdown,occ_student,occ_midlev,occ_uprlev,occ_never,occ_manual,rel_catholic,rel_protestant,rel_evangelical,rel_muslim,rel_other
2020-04-13T12:12:31Z,2020-04-13T12:15:03Z,0,100,152,1,2020-04-13T12:15:04Z,R_1Dot1UFBYI8c4KJ,anonymous,EN,1,2,Nigeria,5,NA,NA,NA,2_5_24,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-04-13T12:16:14Z,2020-04-13T12:16:56Z,0,100,42,1,2020-04-13T12:16:56Z,R_2zSn77Od9yLPMll,anonymous,EN,1,2,Nigeria,6,NA,NA,NA,2_6_28_5,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2020-04-13T12:14:32Z,2020-04-13T12:25:12Z,0,100,639,1,2020-04-13T12:25:12Z,R_1K1pOxl6NQWoQFz,anonymous,EN,1,2,Nigeria,5,24,NA,NA,2_5_24,1,"6,9",0,0,0,0,0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,NA,0,1,1,"1,2,4,5,7",1,1,0,1,1,0,1,"2,3,4,6",0,1,1,1,0,1,0,323,20.335,20.335,23.093,1,7,"1,2,3,4",1,1,1,1,NA,2,3,2,0.5592105263157894,0,1,1,NA,2,1,5,3,4,1,2,3,4,2,2,2,0.6,-0.09999999999999998,0.09999999999999998,T2,4,0.43502515739174924,NA,NA,4,0,0,0,0,1,1,"The Virus doesn't move, People move thereby spreading the Virus. By staying at home you are saving the world","3,4",0,0,1,1,NA,2000,1000,1,22,8,5,NA,NA,0,0,NA,NA,NA,0,0,NA,0,3,3,2_28,NA,28,NA,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-04-13T12:20:47Z,2020-04-13T12:34:41Z,0,100,834,1,2020-04-13T12:34:42Z,R_2XbRVGBhMnn4uXh,anonymous,EN,1,2,Nigeria,5,24,NA,NA,2_5_24,0,"6,7,9",0,0,0,0,0,1,1,0,1,0,0,0,NA,0,0,0,0,0,0,NA,0,1,1,"1,2,4,5,7",1,1,0,1,1,0,1,"1,2,3,4",1,1,1,1,0,0,0,200,2,92.376,93.086,9,7,"1,2,3,4",1,1,1,1,NA,2,2,3,0.05921052631578938,0,2,2,NA,1,-1,3,3,3,2,2,3,3,2,2,2,0.6,-0.3,0.3,C,5,1.1876237205271853,5,NA,NA,NA,NA,NA,NA,0,0,NA,4,0,0,0,1,NA,NA,6000,0,18,8,5,NA,NA,2,NA,NA,NA,NA,1,0,NA,0,3,4,2_28,NA,28,NA,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-04-13T12:13:48Z,2020-04-13T12:35:21Z,0,100,1293,1,2020-04-13T12:35:22Z,R_Q0NNKNny54zygSZ,anonymous,EN,1,2,Nigeria,5,24,NA,NA,2_5_24,1,"5,6,9",0,0,0,0,1,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,NA,0,0,1,"1,2,4,5,7",1,1,0,1,1,0,1,"2,3,4",0,1,1,1,0,0,0,302,9.691,30.717,34.034,2,7,"2,3,4",0,1,1,1,NA,3,3,3,1.0592105263157894,1,3,NA,3,3,1,4,1,4,2,-1,3,4,2,1,4,0.6,-0.19999999999999996,0.19999999999999996,C,2,-1.0701719688791231,2,NA,NA,0,0,0,0,1,1,"Physical distance in this period is a lot more essential. For it prevents this pandemic from reaching you from passer by, neighbours and other persons you tend to have one or two things with.",4,0,0,0,1,NA,NA,1000,0,23,6,5,NA,NA,0,0,NA,NA,NA,0,0,NA,0,4,4,2_5,NA,5,NA,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-04-13T12:20:46Z,2020-04-13T12:36:20Z,0,100,933,1,2020-04-13T12:36:20Z,R_Y0lg59JxrS86zJL,anonymous,EN,1,2,Nigeria,6,28,10,NA,2_6_28_10,1,6,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,1,1,"1,2,4,5,7",1,1,0,1,1,0,1,"2,4",0,1,0,1,0,0,0,323,3.501,3.501,11.963,1,7,"1,2,3,4",1,1,1,1,NA,2,2,3,0.05921052631578938,1,2,NA,2,2,2,5,2,4,2,1,3,4,2,2,3,0.6,-0.09999999999999998,0.09999999999999998,T2,4,0.43502515739174924,NA,NA,4,0,0,0,0,1,1,Physical distancing equals minimal spread of the virus,3,0,0,1,0,NA,2000,NA,1,22,8,5,NA,NA,0,0,NA,NA,NA,0,0,NA,0,3,3,2_15,NA,15,NA,0,0,1,1,0,0,0,0,0,0,1,0,0
2020-04-13T12:22:17Z,2020-04-13T12:36:40Z,0,100,862,1,2020-04-13T12:36:40Z,R_2WHK8w9ociauavl,anonymous,EN,1,2,Nigeria,5,25,NA,NA,2_5_25,1,"4,5",0,0,0,1,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,1,1,"1,2,4,5,7",1,1,0,1,1,0,1,"2,3,4,6",0,1,1,1,0,1,0,328,14.202,14.202,30.041,1,7,"1,2",1,1,0,0,NA,0,2,2,-0.9407894736842106,1,4,NA,4,1,1,4,3,NA,0,2,3,NA,0,2,3,0.6,-0.19999999999999996,0.19999999999999996,T1,4,0.43502515739174924,NA,4,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,0,NA,NA,NA,1,20,8,5,NA,NA,0,0,NA,NA,NA,0,0,NA,0,3,4,2_20,NA,20,NA,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-04-13T12:31:10Z,2020-04-13T12:41:32Z,0,100,622,1,2020-04-13T12:41:32Z,R_2qsmEb2xnbMv5Ra,anonymous,EN,1,1,Kenya,NA,14,NA,NA,1_14,1,"2,5,6,9",0,1,0,0,1,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,NA,0,1,1,"1,2,4,5,7",1,1,0,1,1,0,1,3,0,0,1,0,0,0,0,200,3.201,16.373,20.396,2,2,"1,2",1,1,0,0,NA,1,3,2,NA,0,1,1,NA,2,1,4,4,4,2,2,3,4,2,2,3,0.5,-0.09999999999999998,0.09999999999999998,T2,5,1.0810873909632461,NA,NA,5,1,0,0,0,1,1,"Keep distance, wash hands and sanitize.. We shall overcome",3,0,0,1,0,NA,1000,NA,0,32,9,14,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,0,2,1_1,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-04-13T12:30:13Z,2020-04-13T12:41:59Z,0,100,706,1,2020-04-13T12:42:00Z,R_W9F7EI0FiPpRXZT,anonymous,EN,1,1,Kenya,NA,1,NA,6,1_6,1,"6,9",0,0,0,0,0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,NA,0,1,1,"1,2,4,5,7",1,1,0,1,1,0,1,"2,4,6",0,1,0,1,0,1,0,208,3.166,3.166,9.343,1,7,"1,2,3,4",1,1,1,1,NA,2,3,3,NA,1,4,NA,4,1,1,3,4,3,1,2,3,3,2,2,4,0.5,-0.2,0.2,T1,5,1.0810873909632461,NA,5,NA,1,1,0,0,1,1,"Please stay home, together we can defeat Coronavirus. If you must leave your home, make sure you observe the directives given by the MOH and the government",3,0,0,1,0,NA,16400,NA,0,27,9,15,NA,0,NA,0,NA,NA,NA,0,0,NA,0,0,1,1_4,NA,NA,4,0,0,0,0,0,1,0,0,0,0,0,0,1
2020-04-13T12:26:23Z,2020-04-13T12:42:08Z,0,100,944,1,2020-04-13T12:42:08Z,R_1hSj5wRA0hAvn2e,anonymous,EN,1,1,Kenya,NA,3,NA,NA,1_3,0,"5,6,7",0,0,0,0,1,1,1,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1,1,1,"1,2,4,5,7",1,1,0,1,1,0,1,"2,3,4",0,1,1,1,0,0,0,208,6.8,6.8,14.2,1,7,"2,3",0,1,1,0,NA,2,1,3,NA,1,3,NA,3,3,-2,5,1,3,1,2,3,3,1,2,3,0.5,0,0,T1,4,0.31173223499516906,NA,4,NA,1,1,0,0,1,1,"Kenyans let us be careful about ourselves and also mind about other people, especially the old as we fight this COVID-19. Let's keep the social distance and always wash our hands.",0,0,0,0,0,NA,NA,NA,0,23,8,5,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,3,2,1_7,NA,NA,7,0,0,0,1,0,0,0,0,0,0,1,0,0
